ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Tax status,In stock?,Backorders allowed?,Sold individually?,Weight (oz),Allow customer reviews?,Regular price,Categories,Images,Position
15111,simple,9999,1oz Gold Coin or Bar,1,0,visible,taxable,1,0,0,1,0,3751.09,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2020/08/prod-1ozgoldbar-1-oz-gold-bar-new2-650x650-1.jpg,7
15112,simple,9991,1g Gold Bar,1,0,visible,taxable,1,0,0,0.0321543,0,137.82,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2020/08/pamp-rosa-1g-gold-ingot-back-1.png,1
15113,simple,9995,1/20 oz Gold Maple Leaf Coin,1,0,visible,taxable,1,0,0,0.05,0,221.74,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2020/08/1-20-oz-gold-coin-1.png,2
15114,simple,9996,1/10 oz Gold Coin or Bar,1,0,visible,taxable,1,0,0,0.1,0,417.61,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2020/08/2018-gold-maple-tenth-oz-obv-1.png,3
15115,simple,9997,1/4 oz Gold Coin or Bar,1,0,visible,taxable,1,0,0,0.25,0,1016.31,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2020/08/quarter-oz-gold-1.jpg,5
15116,simple,9998,1/2 oz Gold Coin or Bar,1,0,visible,taxable,1,0,0,0.5,0,1995.65,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2020/08/gold_maple_0.5_oz_1-1.png,6
61255,simple,9986,1oz Gold Maple Leaf Coin .9999,1,0,visible,taxable,1,0,0,1,0,3828.45,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2020/08/RCM_1_oz_Gold_Maple_Leaf_Coin_back.jpg,8
61278,simple,9992,5g Gold Bar,1,0,visible,taxable,1,0,0,0.16075,0,674.09,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2024/03/5-Gram-TD-Gold-Bar_Front.png,4
61281,simple,9990,50g Gold Bar (50x1g),1,0,visible,taxable,1,0,0,1.6075,0,6265.91,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2024/03/50g-gold.jpg,9
61791,simple,9993,2g Gold Bar,1,0,visible,taxable,1,0,0,0.0321543,0,273.64,Gold Coins and Bullion,https://455cash.com/wp-content/uploads/2024/05/1200_1200_bar-gold-argor-heraeus-gold-bar-2-g-obverse-bullionstar-b.png,1
